gene_id,GSM2734272,GSM2734271,GSM2734273,GSM2734267,GSM2734268,GSM2734269,GSM2734274,GSM2734270
ENSG00000163682,67279.0,51811.0,13213.0,14914.0,35178.0,42785.0,7996,28263.0
ENSG00000127603,27052.0,27182.0,29739.0,9062.0,22453.0,59317.0,58184,25794.0
ENSG00000108654,33231.0,37967.0,58908.0,9653.0,16803.0,45588.0,40335,14667.0
ENSG00000168028,71302.0,57299.0,11768.0,13656.0,33871.0,34967.0,9096,24849.0
ENSG00000071082,70155.0,53115.0,12465.0,13499.0,34911.0,37921.0,9273,25136.0
ENSG00000144713,74807.0,56472.0,11440.0,13683.0,33309.0,31926.0,11048,23135.0
ENSG00000197756,66874.0,50497.0,10112.0,15517.0,35286.0,35861.0,10368,27911.0
ENSG00000206503,38133.0,46255.0,28757.0,15181.0,40144.0,55507.0,6798,19562.0
ENSG00000077097,87888.0,69122.0,14858.0,7806.0,13374.0,22599.0,22486,12094.0
ENSG00000100219,46152.0,65441.0,3219.0,16837.0,42737.0,47081.0,7252,18259.0
ENSG00000198755,66752.0,50025.0,12881.0,11944.0,35802.0,33440.0,10751,21443.0
ENSG00000174748,66634.0,50536.0,14099.0,12169.0,32031.0,34381.0,10466,22178.0
ENSG00000181163,65387.0,49193.0,9152.0,12423.0,53345.0,27205.0,10753,12849.0
ENSG00000008988,63935.0,50652.0,9420.0,15460.0,38437.0,32351.0,6915,21532.0
ENSG00000166441,45707.0,44033.0,13555.0,12295.0,51561.0,35188.0,12039,24209.0
ENSG00000124942,1115.0,315.0,13992.0,10698.0,18107.0,85772.0,74664,28886.0
ENSG00000156482,54407.0,49092.0,13197.0,15294.0,44950.0,28711.0,8537,17897.0
ENSG00000150991,34718.0,45466.0,48965.0,16277.0,29712.0,33157.0,11420,12256.0
ENSG00000187837,61175.0,84999.0,5996.0,8623.0,20428.0,26199.0,4702,17525.0
ENSG00000184357,65977.0,91233.0,1722.0,8145.0,27665.0,12595.0,2638,15712.0
ENSG00000143947,60676.0,46319.0,12006.0,12634.0,28721.0,35826.0,6691,22478.0
ENSG00000202058,41343.0,50488.0,25018.0,8918.0,14422.0,40104.0,37609,6314.0
ENSG00000212232,20437.0,24589.0,25312.0,3608.0,18297.0,43555.0,79311,2127.0
ENSG00000105810,38754.0,49156.0,30485.0,7317.0,12503.0,22408.0,43845,12503.0
ENSG00000100201,42899.0,34630.0,11257.0,5812.0,17600.0,34475.0,52100,17823.0
ENSG00000125691,57140.0,45989.0,7814.0,14699.0,29754.0,29251.0,8856,20973.0
ENSG00000169045,27698.0,28193.0,40533.0,6950.0,17181.0,26577.0,53445,10816.0
ENSG00000204592,31524.0,28188.0,29876.0,8702.0,30860.0,53670.0,8879,16300.0
ENSG00000089009,54197.0,43749.0,10577.0,12210.0,26195.0,28627.0,9580,22746.0
ENSG00000177600,54600.0,48760.0,12569.0,9429.0,37212.0,22289.0,7130,15124.0
ENSG00000171863,52252.0,43332.0,13467.0,11996.0,27408.0,30260.0,8255,20045.0
ENSG00000115306,51459.0,68999.0,9199.0,7190.0,12720.0,40826.0,7559,8714.0
ENSG00000123416,61934.0,61981.0,5725.0,7609.0,28006.0,14604.0,7810,17301.0
ENSG00000074800,35221.0,45709.0,4685.0,12604.0,26821.0,39641.0,13601,25421.0
ENSG00000197958,,,,,,,10557,25692.0
ENSG00000063046,50221.0,46225.0,8185.0,9773.0,24934.0,30823.0,10867,20496.0
ENSG00000137818,58926.0,,,11326.0,25374.0,,6837,
