gene_name,GSM3099391,GSM3099301,GSM3099302,GSM3099259,GSM3099299,GSM3099292,GSM3099343,GSM3099311,GSM3099274,GSM3099318,GSM3099302,GSM3099343
RPL26,7904.78,7161.81,4451.98,2382.83,1433.07,5762.12,2698.75,2856.53,3663.79,1355.43,4451.98,2698.75
RPS4X,1998.09,1526.63,2879.58,3845.74,2114.23,7330.69,2931.89,3375.81,5586.19,1462.91,2879.58,2931.89
RPL8,6670.61,2214.55,5647.68,523.8,1057.67,4053.22,4498.64,3292.25,3637.08,2991.85,5647.68,4498.64
RPL38,6326.8,2646.78,8271.48,579.43,3571.6,3852.42,5975.3,2826.07,4167.78,1184.19,8271.48,5975.3
RPL13A,6946.45,2334.42,4449.11,667.22,2071.87,5626.41,1679.65,2900.15,6252.9,1287.79,4449.11,1679.65
RPS25,5195.45,3914.96,3347.33,1793.67,1683.35,4666.6,2304.12,5037.25,2246.84,1486.93,3347.33,2304.12
RPL9_3,15208.65,11008.42,7550.77,2228.11,2440.77,4441.44,1099.86,708.73,362.62,759.23,7550.77,1099.86
RPLP0,2841.5,1936.71,4880.14,1158.72,1815.64,3784.11,2472.36,2214.5,2614.71,1082.92,4880.14,2472.36
RPS21,13041.78,12213.26,4791.44,611.02,1280.97,3880.96,3078.6,3066.07,2542.85,1079.14,4791.44,3078.6
ACTB,158.83,616.7,1944.66,1011.9,2221.77,1462.23,2303.2,2782.56,4976.14,2326.9,1944.66,2303.2
RPL17,4415.99,3479.86,2979.6,2245.52,1632.41,5281.65,1747.22,3576.05,2883.96,1610.33,2979.6,1747.22
GAPDH,318.01,448.86,2151.83,732.11,1080.77,1112.88,5604.21,2886.93,7176.62,3555.64,2151.83,5604.21
RPL11,2724.79,2028.95,3181.83,2572.19,2114.33,5265.61,2346.54,3346.14,3317.3,1643.47,3181.83,2346.54
RPS2,1570.89,349.13,2689.64,362.78,1489.69,3048.9,2666.33,1411.06,5030.74,1274.38,2689.64,2666.33
RPS10,5827.57,8312.22,3954.71,733.41,1303.54,4020.55,1907.88,2533.14,3906.87,1430.14,3954.71,1907.88
RPL3,995.63,384.65,2041.21,1211.0,1509.46,6024.72,3239.29,1737.05,3345.65,1239.62,2041.21,3239.29
RPL35,3054.28,6857.7,4008.51,146.94,2553.69,3803.99,3258.56,5934.6,2596.17,1352.74,4008.51,3258.56
