gene_name_reference,GSM2734272,GSM2734271,GSM2734273,GSM2734267,GSM2734268,GSM2734269,GSM2734274,GSM2734270
7SK,84.27577273638865,110.74009716298708,116.09486592401038,78.68574470441996,60.04997403417708,97.38810006986802,79.53442481386229,35.514070727452605
EEF1A1,2955.8227130402875,2517.589134554692,1178.888258215011,2118.6282932318004,3589.7837149405536,1506.4750210706225,337.62311264913114,1950.509324027347
RMRP,25973.326036603037,23171.052289170733,44337.80566531509,44001.36247460264,31080.405688472725,38513.78287494845,54280.95002965196,14741.599293855958
MT-RNR2,726.8214619853551,797.5205278040241,3948.77862942478,517.6984982963036,1065.0958868535354,2998.6837733631564,11050.28354536977,4492.602279497207
MALAT1,77.5784515473176,59.54285541553999,836.3893770649406,283.5446170747824,378.1433680485536,380.14467559187074,2178.619963767097,498.68709311214747
MT-CO1,348.8321261934145,428.8126750582428,1417.134689476574,1412.7789803607038,1043.5163471069038,2936.174644267672,6735.873663280648,7421.542744317076
TPT1,1323.938377584298,1303.6422539084333,529.1370935606197,1151.8435328918104,1651.5653447612272,974.6923422881848,168.34949484191097,977.3601756927632
MT-CO3,554.778200634816,687.9558998173871,2824.246534732667,1669.6585704154002,1381.8800594135885,4638.295880812102,8808.57843713662,21747.094774334844
EEF2,1396.717528076474,1055.9947783586706,376.2309478394434,861.5421620880712,902.5574810175004,517.2825173805973,232.2429763331614,696.8537075037576
ACTG1,1227.450750447886,1128.16543094605,363.1056105522603,676.8188634502113,669.9468560128845,966.1306015890614,247.7712242294285,1327.1950992711822
RPL13A,1635.54472988465,1329.5230719846002,601.725543395845,1149.3583921381887,1419.728202272543,911.568391393202,222.24638594776323,1129.90345136478
SNHG3,309.7723379645529,336.77484282339395,422.4908397034012,1388.7172201240878,530.362527598782,391.08409775165296,1518.5796301265318,137.76081389011304
GAPDH,1147.5251350756257,1150.5951714016128,124.26763727567791,875.0769388717703,1165.4971086607302,611.0873488018908,146.082762049365,871.0921911722241
RPS18,1600.0230722459796,1497.7361044250283,440.4436548099123,1688.172316769318,2329.942847179499,901.1593659963064,217.3276831186804,1242.961611440568
CD74,720.1400298977597,672.898252974511,794.6841337728179,634.9399481213483,1061.567939793753,889.6961415182165,157.98349661060354,582.6177950146065
RPS6,1252.0980259485314,957.8065119863874,320.8999987213433,628.6393835679395,1108.7688285035072,627.6240346747901,168.45214906291176,1047.609473047696
RPLP0,936.8277607271556,657.3401241055144,159.59026085824138,691.1358445070725,729.0337708559393,384.7869442670658,93.26236146280164,567.164596972146
HBB,0.7841032867476292,0.0194411733712769,3.294745047640395,2448.277670673428,3644.811112943025,3077.759028636908,0.4873327624817786,9842.745523694266
SNORA73B,4243.729827118854,4592.09377917422,6885.720184881969,17415.845434954477,7507.467909236868,7249.406264392033,29244.29752644126,1577.282934267802
ACTB,476.7990556233537,706.8737016890996,645.1339688437558,656.204891769632,712.544652277563,522.0618240753184,453.7952060952223,868.4794167541804
RPL4,549.5208934769081,426.1542912305104,157.9804457837901,468.9873716667392,464.31467725887217,237.15446813049536,90.77870607062329,438.1581246898253
RPS3A,1076.050704112583,902.6974866294707,381.29031921226886,1182.3782985483897,1180.69668052286,747.9588825343643,157.81525213120415,1006.0133093655568
HLA-B,446.5682320664593,465.2413755617234,969.5868119637792,943.9609992751936,1116.7394082931285,795.397384886871,121.8118967196416,528.2028802389327
HLA-DRA,1585.106867995231,1564.0098945075003,961.728108248858,1113.5729967047096,1849.6142832066776,2260.710300566628,117.4892414516108,1486.3694067552512
B2M,488.8017443756087,511.21205809412834,504.1824076288321,1049.937652317491,821.6323410392415,840.5155823141203,118.46004878404683,667.7484966157851
RACK1,458.00452213418106,348.2363388331017,133.41897406063475,310.0376182741506,476.64259985128376,216.6825829093466,73.36546671500527,163.00363923596626
PTMA,701.6502216666065,840.0008726433493,522.1973627343533,420.8571661298863,428.59675782926575,357.8997971764871,173.37387089596757,454.1601352160684
RPS11,2029.6219831100352,1793.1095055306012,671.7875811562805,1303.9136315948522,1356.59062166148,953.1237012877958,259.0665995688188,1153.264330658791
RPL3,581.3711640877644,392.2737985028113,179.7186766058339,345.19919234667105,525.2425107127641,281.70263415823183,94.48669685149731,406.1965004583183
RPL13,697.1525434209794,518.8931620178573,174.2554898307573,654.7528199697139,570.4361435650069,336.49728333147056,103.78792548352328,468.0480767072724
RPS8,870.19111290803,735.0465302806282,246.9013779286504,773.3110768320581,957.0197982817084,414.0716146031877,138.78682024742278,584.5987837442914
RPL19,1113.4189705514395,892.2016352145658,303.106490670914,828.5308142655241,890.3424780040037,503.6859454188277,169.06550987730222,708.0217402679078
MT-CO2,360.40139976108793,429.46984484662346,1412.5081986846444,1032.0234068984769,697.1234108092805,2258.3633365249293,5452.125330884053,7456.945200388041
RPS4X,767.4250169595476,577.6174256994166,183.7437848081397,584.0033034663942,517.0328049048261,518.3997615584556,90.9020552723333,836.100778358616
RPS3,376.5175959780364,296.2287506903493,121.11836876443098,311.1372851168674,404.4723331668508,192.4617859253061,54.52271555517655,254.3866808566565
HSPA8,440.50650828797023,365.12166608962286,51.08911861360963,262.45347694493387,571.6007411491412,268.5850199900096,29.813494016268177,241.94056480227812
RPL7A,992.5033061361424,712.0276331695852,317.83087898922105,784.9179483689835,752.0944875628016,496.72870153628287,175.04598546786892,774.3905471055643
RPS23,478.2547388287479,388.6725856073695,164.00538738106718,325.42750678009315,514.4782463091087,245.5253347197168,70.49257925989596,396.5620181866034
RPL5,761.2713557702123,559.05382571384,202.44169098943533,618.4494147957095,539.5629734019349,348.7372070168799,115.61322774440316,567.0941365034398
RPS12,2421.457911182791,2024.1431632763376,639.6572151460042,2200.310467514545,3474.6368632073068,1248.1846020485275,294.69231213584953,1822.963184652465
RPS2,932.5032012157716,600.195791971908,200.13742765185316,668.5783492242908,834.4175819280314,374.3780089631964,124.47069183431093,623.512918820206
RPL10,409.7194989890842,349.3704809446361,174.93579618002886,302.82817366672407,323.212165752839,225.24714354836587,69.57430830159348,263.3059794491152
CR392039.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYH9,110.75805434927302,115.5932782865672,184.4096073022504,82.70712362786816,118.9786416997188,133.13719544976686,179.45459417966353,180.8752918176305
RPS24,404.8152914107402,331.27627957704846,131.30658860331542,323.2184601239836,287.5345941006027,183.741001723768,69.69112937736419,294.1181540767399
DNTT,954.4882841008018,836.4869040175246,0.1842744028068323,981.7932268278208,535.5937471833619,863.1244494911069,0.1224563782962525,494.22694026544144
RPS27,1836.5452725954992,1823.902738831788,959.4034457508697,1255.4196350928862,1744.4999684732763,1079.7105295115084,203.941907351712,1189.4448409206882
RPS19,481.573731656402,371.5213136251402,116.77718318004167,392.19346925017777,448.0930976009429,283.49247557573466,55.29982001982245,327.5082950427426
RPL7,577.6666910047795,436.56764076287857,163.5071917760768,733.8176371113664,661.7410570153312,310.85698586794365,92.56689814395072,425.27961280150186
TUBB,601.714146196158,606.6153275530734,91.0608501729696,211.17013552960503,419.8041691344921,132.67708907315176,98.70472603767914,300.3976643046701
RPL11,833.9376912160162,596.0189418398968,276.65829264078,735.6561878619616,1016.2207534306492,472.2571326362393,134.66158764869496,646.0799645520202
HNRNPA1,250.43808297600407,303.4384943603933,149.20497826952,181.61404747098496,301.62429196498874,144.54429454242506,115.90485385915008,287.36329508266846
RPS14,376.012521587796,296.1034416816417,126.0419612437906,300.43644066049103,356.0552857279952,175.71905929434507,62.30431769084767,279.08568692048334
TMSB4X,559.3296845263767,959.327151531922,892.8247927664912,547.9797111649391,488.8661601031785,686.9836200071626,231.5257247664669,733.4234854883607
RPL37,224.16662254060623,174.7522817238998,72.64595860928901,164.49986229939236,145.1452334129603,99.03211864273496,36.014701727070666,146.06879885948555
LAPTM5,385.6877451133893,381.8603683164002,414.47369404439934,425.50943589008153,689.5498483747031,283.8320437379724,69.09098079303716,126.98389917797914
SCARNA10,2599.755645517072,3628.139168928364,6224.57340933272,1911.0335678892573,3057.357773858973,3758.208771062595,2743.379110572919,683.9495783688684
RPL9,465.4771750222762,364.3962445359779,169.34397313234524,459.8424908145295,436.3697211084945,313.8657363242998,61.29146516563193,440.55041110449577
MACF1,16.72502740731855,17.083699479778474,34.059892114516245,24.968221885708328,24.888942078076862,38.88482482297955,39.85468578604301,35.92895989154138
DDX5,102.37522893482196,118.90245274594804,336.18257658015744,132.5286822160825,92.81173774635106,148.91399827210978,137.67081784262697,101.80081563750498
RPSA,408.46029321850887,333.6785050680744,124.88211357697712,348.63239464565544,347.88904499341,212.39291023732048,57.73071551434795,320.7122429530286
RPL31,273.1544541800293,210.23252148895307,89.90656150758487,234.2326074830859,243.711794822428,156.55356021566772,40.00168384942059,220.497827860292
RPL32,453.4219301079829,347.9577447183399,128.45048694578048,369.60488934254886,361.9815860648554,205.1815476835427,74.19118434222248,315.92811535943
RPL37A,253.0812813695706,194.26803936034403,70.89069473001165,261.70172292914145,239.42514266376327,143.89928265374078,43.47164433632284,237.977890586784
HLA-A,317.27430777564865,391.2241653823031,443.2277639644443,562.898912983206,598.8515487428372,489.6831910676038,62.66476965690652,366.6955811062383
TOP2B,332.217385708632,265.60859587965274,104.04053491448236,131.49747678890003,90.63974912829728,90.57649398419416,94.17016612965384,102.996206442515
XBP1,343.6670364023778,495.3707217798208,44.40355854160407,558.7379392212923,570.579265952572,371.7290825206114,59.82924230597833,306.3252739584915
RPL10A,1002.736474900258,763.9108586421683,358.44420078553605,799.5919682721468,964.2605960867124,532.6259336240731,178.92859340763113,725.7157793908275
RPL15,230.15423012455864,177.44223393102243,90.2112779574142,187.31565098315133,198.36186170346164,125.91431018222306,40.05088922651811,172.58535737779894
NPM1,385.1436178789075,294.5558535812838,99.86119361302056,326.1023111289895,563.3646784417713,169.90788469756194,70.17287902486916,170.51363501792028
RPS20,491.8425231499214,396.1111415000559,134.24179627197148,530.0208957638938,530.1533246362826,263.8813049988987,58.93698894827418,373.1902299727476
RPL27A,143.27680205814536,140.31512686510763,78.71221467314038,171.7583238917368,289.7871310917869,116.95566292645212,41.81113263102339,170.97338216984284
AHNAK,1.2917197724878,0.3709685132041149,30.027742587983603,55.23217319101824,37.61010474205791,105.35920530813468,95.8325508882868,75.3944429985608
RPL30,304.6325968525276,279.4250737584495,136.88197333104884,381.6267218980787,451.24862380415817,170.45251812230237,52.95844566900473,225.7669267970303
UBC,200.8242190183186,267.35061724979613,524.6825184485078,419.5964926243834,308.14695147769373,203.362150813456,73.18732052057817,159.72343087242123
H1-2,1884.3697317819856,2661.5768692064407,342.1394977578513,1183.7135680487188,1128.1908992455585,855.6779992287246,160.4660351267648,1216.210247562556
H1-5,1883.079673545949,2647.0438939800456,91.04555051083896,1036.0084984088753,1415.7005709849702,381.16043374972736,83.41790492770241,1010.3366142330128
RPS27A,437.09498917227694,339.19630714503023,160.21629035859462,405.5980474282703,370.95654961794577,273.64701552847583,53.40209199513293,364.8169785295957
RN7SKP80,3293.9634400538253,4089.196778156491,3692.485708370442,3166.506275679188,2060.188125528709,3387.957767673319,3319.8382826647617,1133.3912482977885
SNORD17,1944.3391529501976,2378.0928066626234,4460.9852391218665,1529.7395793980857,3121.040224990903,4393.659571779642,8359.81483159086,455.91182503259046
CDK6,71.27369716164839,91.90144577513698,103.86001944820752,59.97108489838656,41.22793521778956,43.696772195759046,89.33901964970927,51.806645658386095
DDX17,96.7469447376352,79.39179797019315,47.02861664431646,58.41330697415583,71.16514840642094,82.43808113176635,130.17757262291363,90.5585348588636
RPL23,215.4839387768225,176.3038073323937,54.588042861245455,247.03503895121625,201.17991912218443,116.96310700810636,37.00161096890601,178.19426238338016
HNRNPH1,65.87843844303785,68.16622320777516,178.58833231009658,73.66747558769883,73.26691821824438,67.0246185507907,140.83491056548698,57.95888927541724
HLA-E,238.9227866487283,217.17687068661675,419.4576806290988,293.92155017995003,419.35012385908817,431.3018859340559,74.55704111262354,278.331491671056
RPL6,274.7965909369673,225.49518839976932,99.34546464071272,275.89755710362044,238.1327335453032,153.9024170465599,53.81581948098321,259.83617722447167
RPLP2,629.7223444466325,571.6802825651683,268.5385471164146,484.6388155778092,769.4919387930818,272.57156920751294,91.10754545241193,392.9901088321067
RPS7,211.0272371408093,177.9005885749596,100.75251657816798,215.907709353609,198.4620813839985,129.58001556731597,36.93694970060098,182.3896313510372
SPTBN1,69.38671801950379,94.57815893932222,22.977621444118213,43.20559515382964,30.751529136634385,58.36941545856767,11.29243773247459,26.472261807868577
TUBA1B,390.7309419078386,397.5029069303056,66.90731674379764,213.9303277531842,316.78481839182143,97.6908769199635,54.58936769913862,245.9112349203655
ENO1,200.6453573246688,264.70503888000405,49.440912284150784,319.9866982697364,273.94728474544274,239.4448737523197,85.84334437753805,326.2710597479904
EIF4B,184.24513235681516,172.39340284476077,55.62612382808695,159.78450568418236,164.00882724939598,119.89997217475982,44.170131213937005,169.40969839765745
